
run_713f1a44,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_548e7485,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_750f2aa7,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_2740fd0b,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_e8e36a3a,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_37d6e28a,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_c7165657,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_5ae57314,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_a2992022,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_eaa9e158,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_6ae1f882,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_6dd460df,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_fd270cd2,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_1f959d0e,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_1a3d8820,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_bdbbe065,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_35a6274d,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_eabf04f5,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_d94c3f86,COMPLETED,300,103,Weighted Cosine Greedy Triplet
run_28d40fa4,COMPLETED,300,104,Weighted Cosine Greedy Triplet
run_c7f83f1f,COMPLETED,300,104,Weighted Cosine Greedy Triplet
run_3f87b87f,COMPLETED,300,104,Weighted Cosine Greedy Triplet
run_c36e5ab9,COMPLETED,300,104,Weighted Cosine Greedy Triplet
run_7590bacd,COMPLETED,300,105,Weighted Cosine Greedy Triplet
run_f712888b,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_1a58a33a,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_6791c1cf,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_0a5a697d,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_9040e069,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_bf4c1c22,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_9795d0b3,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_b8c06ee8,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_6fd27c61,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_fe8f356d,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_e5968c3c,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_716a2a03,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_7ff2dda4,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_20a43159,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_06fbc757,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_cf474952,COMPLETED,300,10000,Weighted Cosine Greedy Triplet
run_3316294c,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_08f33ce6,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_1ecadfce,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_95ef271e,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_e74f23f2,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_5389f697,COMPLETED,300,107,Weighted Cosine Greedy Triplet
run_0f7b09b0,COMPLETED,300,107,Weighted Cosine Greedy Triplet
run_4e7f1869,COMPLETED,300,107,Weighted Cosine Greedy Triplet
run_1747118b,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_6c07d447,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_a87e470b,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_4b312406,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_a4c43bf0,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_4b9683b7,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_98d22eaf,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_b763219b,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
run_adf91595,COMPLETED,300,20000,Weighted Cosine Greedy Triplet
